time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-09-03T03:30:01.760Z,41.3324,129.0297,0,6.3,mb,,10,3.309,0.83,us,us2000aert,2021-07-21T03:13:08.341Z,"21 km ENE of S?ngjibaegam, North Korea",nuclear explosion,1.4,1.7,0.02,941,reviewed,us,us
2016-09-09T00:30:01.440Z,41.2869,129.0783,0,5.3,mb,,,,0.68,us,us10006n8a,2016-12-07T02:56:06.040Z,"23 km ENE of S?ngjibaegam, North Korea",nuclear explosion,5.2,1.7,0.023,608,reviewed,spec,us
2016-01-06T01:30:01.480Z,41.2996,129.0467,0,5.1,mb,,21,3.34,0.83,us,us10004bnm,2017-09-03T04:20:01.133Z,"21 km ENE of S?ngjibaegam, North Korea",nuclear explosion,6,1.7,0.032,306,reviewed,us,us
2013-02-12T02:57:51.490Z,41.299,129.004,0,5.1,mb,426,39.1,,0.82,us,usc000f5t0,2016-01-07T00:17:26.255Z,"18 km ENE of S?ngjibaegam, North Korea",nuclear explosion,,,,296,reviewed,us,us
2009-05-25T00:54:43.120Z,41.303,129.037,0,4.7,mb,131,41.2,,0.65,us,usp000gxgc,2016-02-12T16:57:38.987Z,"21 km ENE of S?ngjibaegam, North Korea",nuclear explosion,,,,53,reviewed,us,us
2006-10-09T01:35:28.020Z,41.294,129.094,0,4.3,mb,31,83.3,,0.86,us,usp000eurb,2014-11-07T01:30:31.423Z,"25 km ENE of S?ngjibaegam, North Korea",nuclear explosion,,,,11,reviewed,us,us
1998-05-30T06:54:54.940Z,28.493,63.731,0,4.6,mb,,,,0.97,us,usp0008nzp,2014-11-07T01:05:17.081Z,"79 km SW of Dalbandin, Pakistan",nuclear explosion,,,,35,reviewed,us,us
1998-05-28T10:16:15.230Z,28.902,64.789,0,4.8,mb,,,,1.08,us,usp0008nv3,2014-11-07T01:05:16.446Z,"37 km E of Dalbandin, Pakistan",nuclear explosion,,,,55,reviewed,us,us
1998-05-11T10:13:41.780Z,27.105,71.802,0,5.2,mb,,,,1.01,us,usp0008mw6,2014-11-07T01:05:12.350Z,"23 km NNW of Pokaran, India",nuclear explosion,,,,104,reviewed,us,us
1996-07-29T01:48:57.830Z,41.824,88.42,0,4.9,mb,,,,0.7,us,usp0007msz,2014-11-07T01:00:51.000Z,"139 km SSW of Turpan, China",nuclear explosion,,,,43,reviewed,us,us
